title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the 5th Session of the 10th National People's Congress Presidium,2007-12-29,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人大法律委员会关于第十届全国人民代表大...(FBM-CLI.1.113335).txt,data_protection
Report on the Handling of Proposals Submitted by Deputies to the Third Session of the 13th National People's Congress,2020-05-27,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/第十三届全国人民代表大会第三次会议秘书处关...(FBM-CLI.1.342614).txt,data_protection
Anti-Money Laundering Law of the People's Republic of China (2024 Revision),2024-11-08,national,China,False,general,[],"['Security & Management', 'Incident Response & Notification', 'Outsourced Processing']","['Financial Intermediation', 'Real Estate', 'Leasing & Business Services']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates AML duties and protects personal data confidentiality,False,data_protection/1_laws/中华人民共和国反洗钱法(2024修订)(FBM-CLI.1.5234298).txt,data_protection
Report on the Handling of Proposals Submitted by Deputies to the Fourth Session of the 12th National People's Congress,2016-03-15,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/十二届全国人大四次会议秘书处关于第十二届全...(FBM-CLI.1.266426).txt,data_protection
Agenda of the 30th Meeting of the Standing Committee of the 13th National People's Congress,2021-08-17,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/第十三届全国人民代表大会常务委员会第三十次...(FBM-CLI.1.5055239).txt,data_protection
Report on the Handling Opinions of Proposals Submitted by Deputies to the Fourth Session of the Eleventh National People's Congress,2011-03-13,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/十一届全国人大四次会议秘书处关于第十一届全...(FBM-CLI.1.154506).txt,data_protection
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies to the Second Session of the 12th National People's Congress,2014-12-28,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.245733).txt,data_protection
Report on the Handling Opinions of Proposals Submitted by Deputies to the Fifth Session of the Twelfth National People's Congress,2017-03-14,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/十二届全国人大五次会议秘书处关于第十二届全...(FBM-CLI.1.291562).txt,data_protection
Report of the Financial and Economic Committee of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Third Session of the 12th National People's Congress,2015-10-30,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/全国人民代表大会财政经济委员会关于第十二届...(FBM-CLI.1.259491).txt,data_protection
Decision of the 13th National People's Congress Fourth Session on the Implementation of the 2020 National Economic and Social Development Plan and the Draft 2021 National Economic and Social Development Plan,2021-03-11,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/第十三届全国人民代表大会第四次会议关于2020年...(FBM-CLI.1.353451).txt,data_protection
Agenda of the 28th Meeting of the Standing Committee of the 13th National People's Congress,2021-04-26,national,China,True,general,[],[],[],[],[],,False,data_protection/1_laws/第十三届全国人民代表大会常务委员会第二十八...(FBM-CLI.1.5054847).txt,data_protection
