title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category,folder
Report on the Review Results of the Proposals Submitted by Representatives to the Fifth Session of the Tenth National People's Congress,29.12.2007,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人大法律委员会关于第十届全国人民代表大...(FBM-CLI.1.113335).txt,1_laws,data protection
Report on the Handling of Proposals by Representatives at the Third Session of the 13th National People's Congress,27.05.2020,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/第十三届全国人民代表大会第三次会议秘书处关...(FBM-CLI.1.342614).txt,1_laws,data protection
Anti-Money Laundering Law of the People's Republic of China (2024 Revision),08.11.2024,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Financial Intermediation', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates anti-money laundering measures.,FALSE,1_laws/中华人民共和国反洗钱法(2024修订)(FBM-CLI.1.5234298).txt,1_laws,data protection
Report on Handling Proposals Submitted by Representatives at the Fourth Session of the Twelfth National People's Congress,15.03.2016,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/十二届全国人大四次会议秘书处关于第十二届全...(FBM-CLI.1.266426).txt,1_laws,data protection
Personal Information Protection Law of the People's Republic of China (Draft),20.08.2021,national,People's Republic of China,FALSE,general,[],[],[],[],[],,TRUE,1_laws/第十三届全国人民代表大会常务委员会第三十次...(FBM-CLI.1.5055239).txt,1_laws,data protection
Report on the Handling of Proposals Submitted by Representatives at the Fourth Session of the Eleventh National People's Congress,13.03.2011,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/十一届全国人大四次会议秘书处关于第十一届全...(FBM-CLI.1.154506).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Second Session of the Twelfth National People's Congress,28.12.2014,national,People's Republic of China,FALSE,general,[],[],[],[],[],Legislative proposals for personal information protection.,FALSE,1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.245733).txt,1_laws,data protection
Report on Handling Proposals Submitted by Representatives at the Fifth Session of the Twelfth National People's Congress,14.03.2017,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/十二届全国人大五次会议秘书处关于第十二届全...(FBM-CLI.1.291562).txt,1_laws,data protection
Report on the Review Results of the Proposals Submitted by Representatives to the Standing Committee of the National People's Congress,30.10.2015,national,People's Republic of China,TRUE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会财政经济委员会关于第十二届...(FBM-CLI.1.259491).txt,1_laws,data protection
Decision of the Fourth Session of the 13th National People's Congress on the Execution of the 2020 National Economic and Social Development Plan and the Draft of the 2021 National Economic and Social Development Plan,11.03.2021,national,People's Republic of China,TRUE,general,[],[],[],[],[],Economic and social development plan for 2021.,FALSE,1_laws/第十三届全国人民代表大会第四次会议关于2020年...(FBM-CLI.1.353451).txt,1_laws,data protection
