file_path,title,date_enacted,jurisdiction,jurisdiction_name,top_level_category,synopsis,general_reference_maj,general_reference_any,pipl_mention_maj,pipl_mention_any,sensitive_data_maj,sensitive_data_any,right_know_and_decide_maj,right_know_and_decide_any,right_access_and_copy_maj,right_access_and_copy_any,right_rectification_maj,right_rectification_any,right_erasure_maj,right_erasure_any,right_explanation_maj,right_explanation_any,right_next_of_kin_maj,right_next_of_kin_any,right_convenient_exercise_and_remedy_maj,right_convenient_exercise_and_remedy_any,resp_security_and_management_maj,resp_security_and_management_any,resp_protection_officer_maj,resp_protection_officer_any,resp_local_representative_maj,resp_local_representative_any,resp_compliance_audits_maj,resp_compliance_audits_any,resp_impact_assessment_maj,resp_impact_assessment_any,resp_incident_response_and_notification_maj,resp_incident_response_and_notification_any,resp_platform_compliance_maj,resp_platform_compliance_any,resp_outsourced_processing_maj,resp_outsourced_processing_any,kw_parental_consent_for_minors_maj,kw_parental_consent_for_minors_any,kw_cross_border_transfer_maj,kw_cross_border_transfer_any,kw_automated_decision_making_transparency_maj,kw_automated_decision_making_transparency_any,kw_de_identification_maj,kw_de_identification_any,kw_anonymization_maj,kw_anonymization_any,sector_agriculture_forestry_animal_husbandry_and_fishery_maj,sector_agriculture_forestry_animal_husbandry_and_fishery_any,sector_mining_maj,sector_mining_any,sector_manufacturing_maj,sector_manufacturing_any,sector_production_and_supply_of_electricity_heat_gas_and_water_maj,sector_production_and_supply_of_electricity_heat_gas_and_water_any,sector_construction_maj,sector_construction_any,sector_wholesale_and_retail_trade_maj,sector_wholesale_and_retail_trade_any,sector_transportation_storage_and_postal_services_maj,sector_transportation_storage_and_postal_services_any,sector_accommodation_and_catering_maj,sector_accommodation_and_catering_any,sector_information_transmission_software_and_it_services_maj,sector_information_transmission_software_and_it_services_any,sector_financial_intermediation_maj,sector_financial_intermediation_any,sector_real_estate_maj,sector_real_estate_any,sector_leasing_and_business_services_maj,sector_leasing_and_business_services_any,sector_scientific_research_and_technical_services_maj,sector_scientific_research_and_technical_services_any,sector_water_conservancy_environment_and_public_facilities_management_maj,sector_water_conservancy_environment_and_public_facilities_management_any,sector_resident_services_repair_and_other_services_maj,sector_resident_services_repair_and_other_services_any,sector_education_maj,sector_education_any,sector_health_and_social_work_maj,sector_health_and_social_work_any,sector_culture_sports_and_entertainment_maj,sector_culture_sports_and_entertainment_any,sector_public_administration_social_security_and_social_organizations_maj,sector_public_administration_social_security_and_social_organizations_any,sector_international_organizations_maj,sector_international_organizations_any,solove_information_collection_maj,solove_information_collection_any,solove_information_processing_maj,solove_information_processing_any,solove_information_dissemination_maj,solove_information_dissemination_any,solove_invasion_maj,solove_invasion_any
data_protection/1_laws/中华人民共和国个人信息保护法(FBM-CLI.1.5055321).txt,Personal Information Protection Law of the People's Republic of China,2021-08-20,national,People's Republic of China,data_protection,Comprehensive law protecting personal information and privacy rights,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
data_protection/1_laws/中华人民共和国反洗钱法(2024修订)(FBM-CLI.1.5234298).txt,Anti-Money Laundering Law of the People's Republic of China (2024 Revision),2024-11-08,national,People's Republic of China,data_protection,Regulates AML duties and protects personal data confidentiality,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
data_protection/1_laws/中华人民共和国反电信网络诈骗法(FBM-CLI.1.5133979).txt,Anti-Telecommunication Network Fraud Law of the People's Republic of China,2022-09-02,national,People's Republic of China,data_protection,Strengthens data protection to combat telecom fraud,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
data_protection/1_laws/中华人民共和国国民经济和社会发展第十三个五...(FBM-CLI.1.266682).txt,The 13th Five-Year Plan for National Economic and Social Development of the People's Republic of China,2016-03-16,national,People's Republic of China,data_protection,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
data_protection/1_laws/中华人民共和国国民经济和社会发展第十四个五...(FBM-CLI.1.353607).txt,The 14th Five-Year Plan for National Economic and Social Development of the People's Republic of China and the Long-Range Objectives Through the Year 2035,2021-03-11,national,People's Republic of China,data_protection,Strategic national development plan with limited privacy focus,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
data_protection/1_laws/中华人民共和国民法典(FBM-CLI.1.342411).txt,Civil Code of the People's Republic of China,2020-05-28,national,People's Republic of China,data_protection,Comprehensive civil law including personal information protection,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
data_protection/1_laws/中华人民共和国测绘法(2017修订)(FBM-CLI.1.293713).txt,Surveying and Mapping Law of the People's Republic of China (2017 Revision),2017-04-27,national,People's Republic of China,data_protection,Regulates surveying activities and geographic data security,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
data_protection/1_laws/中华人民共和国电子商务法(FBM-CLI.1.321035).txt,E-Commerce Law of the People's Republic of China,2018-08-31,national,People's Republic of China,data_protection,Regulates e-commerce to protect personal data and user rights.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
data_protection/1_laws/中华人民共和国突发事件应对法(2024修订)(FBM-CLI.1.5195915).txt,Emergency Response Law of the People's Republic of China (2024 Revision),2024-06-28,national,People's Republic of China,data_protection,Regulates emergency response including limited personal data use and protection,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
data_protection/1_laws/中华人民共和国网络安全法(FBM-CLI.1.283838).txt,Cybersecurity Law of the People's Republic of China,2016-11-07,national,People's Republic of China,data_protection,Establishes cybersecurity and personal data protection framework,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
