title,date_enacted,legal_level,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,file_path,top_level_category
全国人大法律委员会关于第十届全国人民代表大会第五次会议主席团交付审议的代表提出的议案审议结果的报告,29.12.2007,laws,national,China,FALSE,['general'],"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",全国人大法律委员会关于第十届全国人民代表大...(FBM-CLI.1.113335).txt,1_laws
第十三届全国人民代表大会第三次会议秘书处关于第十三届全国人民代表大会第三次会议代表提出议案处理意见的报告,27.05.2020,administrative regulations,national,National,FALSE,[],[],[],[],[],[],第十三届全国人民代表大会第三次会议秘书处关...(FBM-CLI.1.342614).txt,1_laws
中华人民共和国反洗钱法(2024修订),08.11.2024,laws,national,China,FALSE,"['general', 'sensitive']",[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Financial Intermediation', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",中华人民共和国反洗钱法(2024修订)(FBM-CLI.1.5234298).txt,1_laws
十二届全国人大四次会议秘书处关于第十二届全国人民代表大会第四次会议代表提出议案处理意见的报告,15.03.2016,laws,national,China,FALSE,[],"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",十二届全国人大四次会议秘书处关于第十二届全...(FBM-CLI.1.266426).txt,1_laws
中华人民共和国个人信息保护法（草案）,20.08.2021,laws,national,China,FALSE,[],[],[],[],[],[],第十三届全国人民代表大会常务委员会第三十次...(FBM-CLI.1.5055239).txt,1_laws
关于第十一届全国人民代表大会第四次会议代表提出议案处理意见的报告,13.03.2011,administrative regulations,national,China,FALSE,[],[],[],[],[],[],十一届全国人大四次会议秘书处关于第十一届全...(FBM-CLI.1.154506).txt,1_laws
全国人民代表大会法律委员会关于第十二届全国人民代表大会第二次会议主席团交付审议的代表提出的议案审议结果的报告,28.12.2014,laws,national,China,FALSE,['general'],[],[],[],"['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']",[],全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.245733).txt,1_laws
十二届全国人大五次会议秘书处关于第十二届全国人民代表大会第五次会议代表提出议案处理意见的报告,14.03.2017,administrative regulations,national,China,FALSE,[],[],[],[],[],[],十二届全国人大五次会议秘书处关于第十二届全...(FBM-CLI.1.291562).txt,1_laws
全国人民代表大会财政经济委员会关于第十二届全国人民代表大会第三次会议主席团交付审议的代表提出的议案审议结果的报告,30.10.2015,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会财政经济委员会关于第十二届...(FBM-CLI.1.259491).txt,1_laws
第十三届全国人民代表大会第四次会议关于2020年国民经济和社会发展计划执行情况与2021年国民经济和社会发展计划的决议,11.03.2021,laws,national,China,FALSE,[],[],[],[],[],[],第十三届全国人民代表大会第四次会议关于2020年...(FBM-CLI.1.353451).txt,1_laws
中华人民共和国个人信息保护法（草案）,26.04.2021,laws,national,China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",第十三届全国人民代表大会常务委员会第二十八...(FBM-CLI.1.5054847).txt,1_laws
关于第十一届全国人民代表大会第一次会议代表提出议案处理意见的报告,14.03.2008,administrative regulations,national,China,FALSE,[],[],[],[],[],[],十一届全国人大一次会议秘书处关于第十一届全...(FBM-CLI.1.113374).txt,1_laws
全国人民代表大会宪法和法律委员会关于第十三届全国人民代表大会第三次会议主席团交付审议的代表提出的议案审议结果的报告,22.01.2021,laws,national,China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.5054651).txt,1_laws
第十三届全国人民代表大会第一次会议秘书处关于第十三届全国人民代表大会第一次会议代表提出议案处理意见的报告,16.03.2018,laws,national,China,FALSE,[],[],[],[],[],[],第十三届全国人民代表大会第一次会议秘书处关...(FBM-CLI.1.311595).txt,1_laws
第十三届全国人民代表大会第五次会议关于2021年国民经济和社会发展计划执行情况与2022年国民经济和社会发展计划的决议,11.03.2022,administrative regulations,national,China,FALSE,[],[],[],[],[],[],第十三届全国人民代表大会第五次会议关于2021年...(FBM-CLI.1.5114781).txt,1_laws
中华人民共和国国民经济和社会发展第十三个五年规划纲要,16.03.2016,administrative regulations,national,People's Republic of China,FALSE,[],[],[],[],[],[],中华人民共和国国民经济和社会发展第十三个五...(FBM-CLI.1.266682).txt,1_laws
关于第十一届全国人民代表大会第五次会议代表提出议案处理意见的报告,13.03.2012,administrative regulations,national,China,FALSE,[],[],[],[],[],[],十一届全国人大五次会议秘书处关于第十一届全...(FBM-CLI.1.175135).txt,1_laws
中华人民共和国突发事件应对法(2024修订),28.06.2024,laws,national,People's Republic of China,FALSE,[],"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']",[],"['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",中华人民共和国突发事件应对法(2024修订)(FBM-CLI.1.5195915).txt,1_laws
全国人民代表大会财政经济委员会关于第十三届全国人民代表大会第五次会议主席团交付审议的代表提出的议案审议结果的报告,27.10.2022,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会财政经济委员会关于第十三届...(FBM-CLI.1.5137889).txt,1_laws
全国人民代表大会财政经济委员会关于第十一届全国人民代表大会第五次会议主席团交付审议的代表提出的议案审议结果的报告,26.10.2012,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会财政经济委员会关于第十一届...(FBM-CLI.1.187201).txt,1_laws
中华人民共和国网络安全法,07.11.2016,laws,national,China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",中华人民共和国网络安全法(FBM-CLI.1.283838).txt,1_laws
第十三届全国人民代表大会第二次会议秘书处关于第十三届全国人民代表大会第二次会议代表提出议案处理意见的报告,14.03.2019,administrative regulations,national,China,FALSE,[],[],[],[],[],[],第十三届全国人民代表大会第二次会议秘书处关...(FBM-CLI.1.330395).txt,1_laws
个人信息保护法,20.08.2021,laws,national,China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Health & Social Work', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",全国人民代表大会宪法和法律委员会关于第十三...(FBM-CLI.1.5113826).txt,1_laws
全国人民代表大会财政经济委员会关于第十一届全国人民代表大会第四次会议主席团交付审议的代表提出的议案审议结果的报告,29.10.2011,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人民代表大会财政经济委员会关于第十一届...(FBM-CLI.1.169703).txt,1_laws
中华人民共和国反电信网络诈骗法,02.09.2022,laws,national,People's Republic of China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",中华人民共和国反电信网络诈骗法(FBM-CLI.1.5133979).txt,1_laws
全国人大常委会2017年工作要点,11.04.2017,administrative regulations,national,China,FALSE,[],[],[],[],[],[],全国人大常委会2017年工作要点(FBM-CLI.1.293819).txt,1_laws
个人信息保护法,None,laws,national,China,FALSE,"['general', 'sensitive']","['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Information Transmission, Software & IT Services', 'Financial Intermediation', 'Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",十三届全国人大常委会立法规划(共116件)(FBM-CLI.1.321367).txt,1_laws
第十四届全国人民代表大会第三次会议关于2024年国民经济和社会发展计划执行情况与2025年国民经济和社会发展计划的决议,11.03.2025,administrative regulations,national,China,FALSE,[],[],[],[],[],[],第十四届全国人民代表大会第三次会议关于2024年...(FBM-CLI.1.5292718).txt,1_laws
全国人民代表大会教育科学文化卫生委员会关于第十三届全国人民代表大会第五次会议主席团交付审议的代表提出的议案审议结果的报告,30.10.2022,laws,national,National,TRUE,[],[],[],[],[],[],全国人民代表大会教育科学文化卫生委员会关于...(FBM-CLI.1.5151531).txt,1_laws
十二届全国人大三次会议秘书处关于第十二届全国人民代表大会第三次会议代表提出议案处理意见的报告,14.03.2015,administrative regulations,national,China,FALSE,[],[],[],[],[],[],十二届全国人大三次会议秘书处关于第十二届全...(FBM-CLI.1.248816).txt,1_laws
